Primary Purpose,Design Style,Furniture Type,Room Size,Dimension Constraints,Budget,Eco-Friendly,Storage Needs,Easy Assembly,Children or Pets,Comfort vs Practicality,Specific Requests,Recommended Furniture
Dining,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Traditional,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Relax,Minimalist,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,Durable,"['Sofa', 'TV', 'Lamp']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Chair']"
Relax,Rustic,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Practical,None,"['Sofa', 'TV', 'Lamp', 'Table']"
Sleep,Rustic,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Minimalist,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Traditional,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Industrial,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Dining,Traditional,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Window']"
Sleep,Minimalist,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Industrial,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Play,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Sleep,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Modern,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Dining,Industrial,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Work,Industrial,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Table']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Sleep,Traditional,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Play,Modern,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Relax,Rustic,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Table']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Modern,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Work,Traditional,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Table', 'Lamp']"
Sleep,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Relax,Industrial,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Modern,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Chair']"
Play,Industrial,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,No,Practical,Durable,"['Sofa', 'Lamp']"
Work,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Play,Rustic,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,None,"['Sofa', 'Chair']"
Work,Industrial,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Modern,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Relax,Rustic,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'TV']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Practical,None,"['Sofa', 'Table']"
Relax,Industrial,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Relax,Industrial,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Relax,Rustic,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'TV', 'Table']"
Dining,Modern,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,None,"['Sofa', 'Chair']"
Play,Modern,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Traditional,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Traditional,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Work,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Practical,Durable,"['Sofa', 'TV', 'Lamp', 'Table']"
Sleep,Rustic,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Relax,Traditional,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'TV']"
Work,Modern,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Modern,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Relax,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Sleep,Minimalist,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,No,Comfortable,None,"['Sofa', 'Chair']"
Play,Modern,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Play,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'Chair']"
Relax,Industrial,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Durable,"['Sofa', 'Window']"
Work,Industrial,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Minimalist,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Play,Rustic,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,Yes,No,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Play,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Relax,Minimalist,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'TV', 'Lamp', 'Table']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,Yes,Practical,Durable,"['Sofa', 'Table']"
Play,Traditional,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Play,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Play,Rustic,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Minimalist,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Relax,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'TV', 'Lamp']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Play,Modern,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Work,Minimalist,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Dining,Modern,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'Table']"
Sleep,Traditional,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Industrial,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Practical,None,"['Sofa', 'Lamp', 'Table']"
Sleep,Rustic,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Work,Traditional,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Work,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Table', 'Lamp']"
Relax,Rustic,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Dining,Rustic,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'TV']"
Dining,Industrial,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Traditional,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Sleep,Traditional,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Dining,Industrial,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Work,Modern,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Table']"
Play,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Traditional,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Sleep,Rustic,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Minimalist,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Chair']"
Relax,Traditional,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Minimalist,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV']"
Relax,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,None,"['Sofa', 'TV', 'Table']"
Dining,Modern,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Play,Modern,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Dining,Rustic,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Work,Traditional,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Play,Modern,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Chair']"
Relax,Industrial,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Chair']"
Play,Traditional,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Lamp']"
Play,Industrial,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Industrial,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Modern,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Lamp', 'Table']"
Dining,Traditional,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Work,Minimalist,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'Table', 'Table']"
Sleep,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Play,Modern,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Relax,Traditional,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Play,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Relax,Industrial,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Dining,Traditional,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Sleep,Modern,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Work,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Minimalist,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'TV', 'Lamp', 'Table']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Practical,Durable,"['Sofa', 'TV', 'Table']"
Work,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Table']"
Sleep,Minimalist,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Lamp', 'Table']"
Play,Rustic,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Work,Industrial,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'Table', 'Lamp']"
Dining,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Work,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Modern,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Sleep,Minimalist,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Play,Modern,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Work,Industrial,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table']"
Relax,Minimalist,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Industrial,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Relax,Industrial,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV']"
Work,Rustic,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Dining,Industrial,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Work,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Industrial,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp']"
Work,Minimalist,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Sleep,Minimalist,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Work,Minimalist,Ready-made,Less than 10 sqm,No,More than 5000 SAR,No,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Chair']"
Relax,Traditional,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Dining,Modern,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Practical,None,"['Sofa', 'Lamp']"
Dining,Minimalist,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Work,Rustic,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Sleep,Minimalist,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Traditional,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Chair']"
Dining,Rustic,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'TV']"
Sleep,Industrial,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Practical,None,"['Sofa', 'Lamp', 'Table']"
Work,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Modern,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,Yes,No,Practical,Durable,"['Sofa', 'Lamp']"
Sleep,Traditional,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Lamp']"
Dining,Modern,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Relax,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,Durable,"['Sofa', 'TV', 'Table']"
Relax,Traditional,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Dining,Modern,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'TV']"
Sleep,Traditional,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Work,Modern,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp']"
